dv,logdv,period,model,restriction,endogenous,instrumented,latestart,weights,decadal_dv,decadal_shock,dropoutliers,dropsmallczs,prefmods,i
D.impRate_native_corrected_estimated0_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,91
D.impRate_native_corrected_estimated0_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,92
D.impRate_uncorrected_discarded_0,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,93
D.impRate_uncorrected_discarded_0,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,94
D.impRate_uncorrected_discarded_100,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,95
D.impRate_uncorrected_discarded_100,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,96
D.impRate_uncorrected_discarded_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,97
D.impRate_uncorrected_discarded_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,98
D.impRate_uncorrected_discarded_5,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,99
D.impRate_uncorrected_discarded_5,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,100
D.impRate_uncorrected_discarded_50,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,101
D.impRate_uncorrected_discarded_50,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,102
D.impRate_uncorrected_discarded_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,103
D.impRate_uncorrected_discarded_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,104
D.impRate_uncorrected_estimated_0,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,105
D.impRate_uncorrected_estimated_0,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,106
D.impRate_uncorrected_estimated_100,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,107
D.impRate_uncorrected_estimated_100,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,108
D.impRate_uncorrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,109
D.impRate_uncorrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,110
D.impRate_uncorrected_estimated_5,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,111
D.impRate_uncorrected_estimated_5,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,112
D.impRate_uncorrected_estimated_50,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,113
D.impRate_uncorrected_estimated_50,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,114
D.impRate_uncorrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,115
D.impRate_uncorrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,116
D.impRate_white_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,117
D.impRate_white_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,118
D.impRate_white_corrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,119
D.impRate_white_corrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,120
D.impRate_white_corrected_estimated0_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,121
D.impRate_white_corrected_estimated0_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,122
D.impRate_white_corrected_estimated0_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,123
D.impRate_white_corrected_estimated0_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,124
D.incRate_aapi_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,125
D.incRate_aapi_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,126
D.incRate_aapi_corrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,127
D.incRate_aapi_corrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,128
D.incRate_aapi_corrected_estimated0_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,129
D.incRate_aapi_corrected_estimated0_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,130
D.incRate_aapi_corrected_estimated0_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,131
D.incRate_aapi_corrected_estimated0_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,132
D.incRate_black_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,133
D.incRate_black_corrected_estimated_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,134
D.incRate_black_corrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,135
D.incRate_black_corrected_estimated_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,136
D.incRate_black_corrected_estimated0_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,137
D.incRate_black_corrected_estimated0_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,138
D.incRate_black_corrected_estimated0_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,139
D.incRate_black_corrected_estimated0_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,140
D.incRate_corrected_discarded_0,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,141
D.incRate_corrected_discarded_0,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,142
D.incRate_corrected_discarded_100,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,143
D.incRate_corrected_discarded_100,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,144
D.incRate_corrected_discarded_25,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,145
D.incRate_corrected_discarded_25,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,146
D.incRate_corrected_discarded_5,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,147
D.incRate_corrected_discarded_5,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,148
D.incRate_corrected_discarded_50,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,149
D.incRate_corrected_discarded_50,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,150
D.incRate_corrected_discarded_75,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,151
D.incRate_corrected_discarded_75,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,152
D.incRate_corrected_estimated_0,TRUE,stacked.alt,preferred,unrestricted,emptopop_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,153
D.incRate_corrected_estimated_0,TRUE,stacked.alt,preferred,unrestricted,emptopopc_china,instrumented,samestart,yes,yes,yes,no,no,FALSE,154
